,0,1,2
0,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
1,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
2,1.794011589314867e-05,1.714207350521119e-05,0.00011761707799972556
3,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
4,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
5,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
6,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
7,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
8,1.794011589314867e-05,3.428414701042238e-05,7.841138533315038e-05
9,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
10,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
11,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
12,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
13,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
14,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
15,1.794011589314867e-05,1.714207350521119e-05,5.880853899986278e-05
16,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
17,1.794011589314867e-05,3.428414701042238e-05,3.920569266657519e-05
18,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
19,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
20,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
21,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
22,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
23,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
24,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
25,1.794011589314867e-05,1.714207350521119e-05,5.880853899986278e-05
26,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
27,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
28,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
29,1.794011589314867e-05,3.428414701042238e-05,5.880853899986278e-05
30,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
31,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
32,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
33,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
34,1.794011589314867e-05,1.714207350521119e-05,5.880853899986278e-05
35,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
36,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
37,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
38,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
39,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
40,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
41,3.588023178629734e-05,1.714207350521119e-05,5.880853899986278e-05
42,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
43,1.794011589314867e-05,3.428414701042238e-05,3.920569266657519e-05
44,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
45,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
46,1.794011589314867e-05,1.714207350521119e-05,5.880853899986278e-05
47,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
48,1.794011589314867e-05,3.428414701042238e-05,5.880853899986278e-05
49,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
50,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
51,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
52,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
53,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
54,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
55,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
56,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
57,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
58,1.794011589314867e-05,6.856829402084476e-05,3.920569266657519e-05
59,1.794011589314867e-05,1.714207350521119e-05,7.841138533315038e-05
60,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
61,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
62,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
63,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
64,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
65,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
66,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
67,1.794011589314867e-05,3.428414701042238e-05,7.841138533315038e-05
68,1.794011589314867e-05,5.142622051563357e-05,0.00011761707799972556
69,3.588023178629734e-05,1.714207350521119e-05,3.920569266657519e-05
70,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
71,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
72,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
73,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
74,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
75,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
76,1.794011589314867e-05,1.714207350521119e-05,5.880853899986278e-05
77,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
78,1.794011589314867e-05,1.714207350521119e-05,5.880853899986278e-05
79,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
80,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
81,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
82,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
83,3.588023178629734e-05,1.714207350521119e-05,3.920569266657519e-05
84,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
85,1.794011589314867e-05,6.856829402084476e-05,1.9602846333287594e-05
86,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
87,1.794011589314867e-05,6.856829402084476e-05,9.801423166643797e-05
88,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
89,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
90,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
91,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
92,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
93,1.794011589314867e-05,6.856829402084476e-05,5.880853899986278e-05
94,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
95,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
96,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
97,3.588023178629734e-05,0.00011999451453647833,0.00011761707799972556
98,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
99,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
100,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
101,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
102,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
103,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
104,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
105,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
106,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
107,5.382034767944601e-05,1.714207350521119e-05,1.9602846333287594e-05
108,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
109,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
110,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
111,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
112,3.588023178629734e-05,1.714207350521119e-05,5.880853899986278e-05
113,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
114,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
115,0.0002332215066109327,0.00041140976412506856,0.00023523415599945111
116,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
117,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
118,3.588023178629734e-05,8.571036752605595e-05,9.801423166643797e-05
119,1.794011589314867e-05,6.856829402084476e-05,5.880853899986278e-05
120,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
121,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
122,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
123,1.794011589314867e-05,1.714207350521119e-05,5.880853899986278e-05
124,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
125,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
126,1.794011589314867e-05,8.571036752605595e-05,3.920569266657519e-05
127,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
128,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
129,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
130,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
131,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
132,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
133,8.970057946574335e-05,1.714207350521119e-05,1.9602846333287594e-05
134,5.382034767944601e-05,1.714207350521119e-05,1.9602846333287594e-05
135,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
136,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
